Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","212","Dominique","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","36.34","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","212","Dominique","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","34.4","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","212","Dominique","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","37.86","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","212","Dominique","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2018","2018","Kcal/personne/jour","640","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","212","Dominique","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2019","2019","Kcal/personne/jour","663","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","212","Dominique","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2018","2018","g/personne/jour","43.76","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","212","Dominique","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2019","2019","g/personne/jour","46.24","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","212","Dominique","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2941","Produits Animaux","2018","2018","g/personne/jour","43.19","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","212","Dominique","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2941","Produits Animaux","2019","2019","g/personne/jour","44.7","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","818","Égypte","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","3000","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","818","Égypte","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","3029","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","818","Égypte","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","71.04","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","818","Égypte","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","71.15","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","818","Égypte","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","39.75","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","818","Égypte","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","42.44","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","818","Égypte","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2018","2018","Kcal/personne/jour","302","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","818","Égypte","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2019","2019","Kcal/personne/jour","289","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","818","Égypte","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2018","2018","g/personne/jour","26.8","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","818","Égypte","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2019","2019","g/personne/jour","25.24","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","818","Égypte","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2941","Produits Animaux","2018","2018","g/personne/jour","19.48","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","818","Égypte","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2941","Produits Animaux","2019","2019","g/personne/jour","17.93","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","222","El Salvador","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2261","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","222","El Salvador","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2294","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","222","El Salvador","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","49.25","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","222","El Salvador","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","52.09","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","222","El Salvador","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","32.51","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","222","El Salvador","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","32.89","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","222","El Salvador","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2018","2018","Kcal/personne/jour","422","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","222","El Salvador","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2019","2019","Kcal/personne/jour","442","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","222","El Salvador","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2018","2018","g/personne/jour","26.24","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","222","El Salvador","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2019","2019","g/personne/jour","27.75","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","222","El Salvador","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2941","Produits Animaux","2018","2018","g/personne/jour","30.03","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","222","El Salvador","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2941","Produits Animaux","2019","2019","g/personne/jour","31.49","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","784","Émirats arabes unis","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2505","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","784","Émirats arabes unis","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2602","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","784","Émirats arabes unis","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","44.63","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","784","Émirats arabes unis","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","46.96","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","784","Émirats arabes unis","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","89.46","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","784","Émirats arabes unis","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","96.65","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","784","Émirats arabes unis","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2018","2018","Kcal/personne/jour","544","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","784","Émirats arabes unis","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2019","2019","Kcal/personne/jour","489","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","784","Émirats arabes unis","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2018","2018","g/personne/jour","37.39","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","784","Émirats arabes unis","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2019","2019","g/personne/jour","35.17","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","784","Émirats arabes unis","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2941","Produits Animaux","2018","2018","g/personne/jour","30.43","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","784","Émirats arabes unis","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2941","Produits Animaux","2019","2019","g/personne/jour","30.05","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","218","Équateur","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2027","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","218","Équateur","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","1993","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","218","Équateur","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","32.02","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","218","Équateur","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","32.03","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","218","Équateur","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","56.66","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","218","Équateur","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","54.28","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","218","Équateur","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2018","2018","Kcal/personne/jour","527","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","218","Équateur","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2019","2019","Kcal/personne/jour","527","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","218","Équateur","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2018","2018","g/personne/jour","30.07","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","218","Équateur","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2019","2019","g/personne/jour","30.82","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","218","Équateur","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2941","Produits Animaux","2018","2018","g/personne/jour","40.69","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","218","Équateur","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2941","Produits Animaux","2019","2019","g/personne/jour","39.94","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","724","Espagne","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2472","E","Valeur estimée"
