Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","031","Azerbaïdjan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2755","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","031","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","59.04","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","031","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","62.04","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","031","Azerbaïdjan","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","38.19","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","031","Azerbaïdjan","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","39.64","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","044","Bahamas","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","1858","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","044","Bahamas","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","1827","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","044","Bahamas","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","28.08","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","044","Bahamas","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","27.51","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","044","Bahamas","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","46.94","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","044","Bahamas","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","45.8","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","048","Bahreïn","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2668","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","048","Bahreïn","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","42.78","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","048","Bahreïn","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","75.87","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","050","Bangladesh","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2484","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","050","Bangladesh","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2435","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","050","Bangladesh","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","48.49","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","050","Bangladesh","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","47.84","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","050","Bangladesh","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","27.45","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","050","Bangladesh","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","27.67","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","052","Barbade","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2240","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","052","Barbade","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2295","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","052","Barbade","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","37.69","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","052","Barbade","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","38.81","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","052","Barbade","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","44.19","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","052","Barbade","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","42.61","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","112","Bélarus","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2437","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","112","Bélarus","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2336","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","112","Bélarus","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","39.81","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","112","Bélarus","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","41.1","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","112","Bélarus","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","71.03","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","112","Bélarus","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","65.19","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","056","Belgique","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2611","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","056","Belgique","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2489","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","056","Belgique","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","41.21","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","056","Belgique","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","40.18","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","056","Belgique","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","69.63","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","056","Belgique","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","68.65","E","Valeur estimée"
